event_id,rig_id,sensor_id,sensor_type,value,unit,event_timestamp
E000046,RIG_09,SEN_14,flow,121.31,l/min,2025-02-01 00:22:30
E000047,RIG_07,SEN_07,vibration,3.82,mm/s,2025-02-01 00:23:00
E000048,RIG_08,SEN_16,pressure,2213.14,psi,2025-02-01 00:23:30
E000049,RIG_08,SEN_11,flow,109.32,l/min,2025-02-01 00:24:00
E000050,RIG_08,SEN_15,temperature,86.44,C,2025-02-01 00:24:30
E000051,RIG_01,SEN_02,pressure,2556.0,psi,2025-02-01 00:25:00
E000052,RIG_10,SEN_06,pressure,2670.48,psi,2025-02-01 00:25:30
E000053,RIG_02,SEN_06,pressure,2332.52,psi,2025-02-01 00:26:00
E000054,RIG_09,SEN_15,vibration,1.8,mm/s,2025-02-01 00:26:30
E000055,RIG_04,SEN_03,temperature,87.09,C,2025-02-01 00:27:00
E000056,RIG_03,SEN_04,vibration,3.91,mm/s,2025-02-01 00:27:30
E000057,RIG_02,SEN_10,vibration,2.5,mm/s,2025-02-01 00:28:00
E000058,RIG_04,SEN_17,vibration,1.71,mm/s,2025-02-01 00:28:30
E000059,RIG_05,SEN_03,pressure,2084.94,psi,2025-02-01 00:29:00
E000060,RIG_07,SEN_12,pressure,2790.84,psi,2025-02-01 00:29:30
E000061,RIG_09,SEN_03,vibration,1.8,mm/s,2025-02-01 00:30:00
E000062,RIG_08,SEN_15,flow,114.18,l/min,2025-02-01 00:30:30
E000063,RIG_08,SEN_14,flow,122.94,l/min,2025-02-01 00:31:00
E000064,RIG_03,SEN_09,temperature,71.5,C,2025-02-01 00:31:30
E000065,RIG_01,SEN_07,vibration,2.28,mm/s,2025-02-01 00:32:00
E000066,RIG_02,SEN_01,temperature,85.59,C,2025-02-01 00:32:30
E000067,RIG_06,SEN_04,temperature,85.66,C,2025-02-01 00:33:00
E000068,RIG_02,SEN_08,flow,92.17,l/min,2025-02-01 00:33:30
E000069,RIG_06,SEN_09,flow,105.11,l/min,2025-02-01 00:34:00
E000070,RIG_06,SEN_04,vibration,1.53,mm/s,2025-02-01 00:34:30
E000071,RIG_01,SEN_02,flow,114.2,l/min,2025-02-01 00:35:00
E000072,RIG_07,SEN_12,pressure,2271.08,psi,2025-02-01 00:35:30
E000073,RIG_01,SEN_03,pressure,6141.42,psi,2025-02-01 00:36:00
E000074,RIG_06,SEN_05,pressure,2287.03,psi,2025-02-01 00:36:30
E000075,RIG_07,SEN_10,vibration,2.49,mm/s,2025-02-01 00:37:00
E000076,RIG_03,SEN_15,flow,112.01,l/min,2025-02-01 00:37:30
E000077,RIG_06,SEN_03,flow,105.71,l/min,2025-02-01 00:38:00
E000078,RIG_09,SEN_07,vibration,4.1,mm/s,2025-02-01 00:38:30
E000079,RIG_05,SEN_04,temperature,74.31,C,2025-02-01 00:39:00
E000080,RIG_05,SEN_09,temperature,77.16,C,2025-02-01 00:39:30
E000081,RIG_10,SEN_06,flow,90.43,l/min,2025-02-01 00:40:00
E000082,RIG_02,SEN_04,vibration,2.94,mm/s,2025-02-01 00:40:30
E000083,RIG_02,SEN_19,pressure,2188.38,psi,2025-02-01 00:41:00
E000084,RIG_10,SEN_20,temperature,76.94,C,2025-02-01 00:41:30
E000085,RIG_07,SEN_17,vibration,1.58,mm/s,2025-02-01 00:42:00
E000086,RIG_04,SEN_15,pressure,2030.55,psi,2025-02-01 00:42:30
E000087,RIG_06,SEN_14,vibration,2.69,mm/s,2025-02-01 00:43:00
E000088,RIG_10,SEN_11,flow,117.85,l/min,2025-02-01 00:43:30
E000089,RIG_10,SEN_01,pressure,2227.37,psi,2025-02-01 00:44:00
E000090,RIG_04,SEN_06,vibration,9.56,mm/s,2025-02-01 00:44:30
E000091,RIG_09,SEN_05,flow,104.96,l/min,2025-02-01 00:45:00
E000092,RIG_07,SEN_02,vibration,1.59,mm/s,2025-02-01 00:45:30
E000093,RIG_08,SEN_19,vibration,4.23,mm/s,2025-02-01 00:46:00
E000094,RIG_01,SEN_18,pressure,2977.13,psi,2025-02-01 00:46:30
E000095,RIG_02,SEN_10,vibration,1.17,mm/s,2025-02-01 00:47:00
E000096,RIG_01,SEN_08,flow,130.19,l/min,2025-02-01 00:47:30
E000097,RIG_08,SEN_04,temperature,78.17,C,2025-02-01 00:48:00
E000098,RIG_01,SEN_03,flow,119.49,l/min,2025-02-01 00:48:30
E000099,RIG_03,SEN_05,temperature,88.64,C,2025-02-01 00:49:00
E000100,RIG_09,SEN_09,temperature,207.06,C,2025-02-01 00:49:30
E000101,RIG_07,SEN_02,pressure,2469.17,psi,2025-02-01 00:50:00
E000102,RIG_09,SEN_15,pressure,2170.85,psi,2025-02-01 00:50:30
E000103,RIG_10,SEN_08,pressure,2654.9,psi,2025-02-01 00:51:00
E000104,RIG_06,SEN_07,flow,126.65,l/min,2025-02-01 00:51:30
E000105,RIG_08,SEN_16,flow,91.51,l/min,2025-02-01 00:52:00
E000106,RIG_10,SEN_07,temperature,81.0,C,2025-02-01 00:52:30
E000107,RIG_06,SEN_02,vibration,2.33,mm/s,2025-02-01 00:53:00
E000108,RIG_06,SEN_12,flow,127.72,l/min,2025-02-01 00:53:30
E000109,RIG_08,SEN_02,vibration,4.49,mm/s,2025-02-01 00:54:00
E000110,RIG_09,SEN_08,temperature,70.39,C,2025-02-01 00:54:30
E000111,RIG_01,SEN_17,vibration,4.54,mm/s,2025-02-01 00:55:00
E000112,RIG_08,SEN_14,flow,117.6,l/min,2025-02-01 00:55:30
E000113,RIG_07,SEN_14,temperature,76.34,C,2025-02-01 00:56:00
E000114,RIG_07,SEN_15,temperature,74.76,C,2025-02-01 00:56:30
E000115,RIG_08,SEN_09,flow,263.28,l/min,2025-02-01 00:57:00
E000116,RIG_01,SEN_04,flow,112.32,l/min,2025-02-01 00:57:30
E000117,RIG_01,SEN_07,temperature,76.89,C,2025-02-01 00:58:00
E000118,RIG_04,SEN_01,pressure,2657.35,psi,2025-02-01 00:58:30
E000119,RIG_08,SEN_13,vibration,2.12,mm/s,2025-02-01 00:59:00
E000120,RIG_10,SEN_03,flow,90.76,l/min,2025-02-01 00:59:30
E000121,RIG_06,SEN_12,pressure,2591.31,psi,2025-02-01 01:00:00
E000122,RIG_03,SEN_12,pressure,5185.45,psi,2025-02-01 01:00:30
E000123,RIG_07,SEN_20,pressure,2880.08,psi,2025-02-01 01:01:00
E000124,RIG_04,SEN_18,pressure,2473.54,psi,2025-02-01 01:01:30
E000125,RIG_09,SEN_20,pressure,2512.25,psi,2025-02-01 01:02:00
E000126,RIG_02,SEN_17,vibration,2.3,mm/s,2025-02-01 01:02:30
E000127,RIG_09,SEN_20,vibration,5.0,mm/s,2025-02-01 01:03:00
E000128,RIG_02,SEN_03,flow,107.66,l/min,2025-02-01 01:03:30
E000129,RIG_01,SEN_18,temperature,83.29,C,2025-02-01 01:04:00
E000130,RIG_04,SEN_12,pressure,2324.06,psi,2025-02-01 01:04:30
E000131,RIG_04,SEN_16,pressure,2103.84,psi,2025-02-01 01:05:00
E000132,RIG_10,SEN_07,vibration,1.8,mm/s,2025-02-01 01:05:30
E000133,RIG_07,SEN_08,pressure,2402.22,psi,2025-02-01 01:06:00
E000134,RIG_07,SEN_12,flow,102.87,l/min,2025-02-01 01:06:30
E000135,RIG_02,SEN_19,temperature,72.97,C,2025-02-01 01:07:00
E000136,RIG_01,SEN_03,vibration,3.39,mm/s,2025-02-01 01:07:30
E000137,RIG_07,SEN_06,pressure,2235.17,psi,2025-02-01 01:08:00
E000138,RIG_07,SEN_18,pressure,2734.66,psi,2025-02-01 01:08:30
E000139,RIG_02,SEN_07,pressure,2983.93,psi,2025-02-01 01:09:00
E000140,RIG_02,SEN_01,flow,109.11,l/min,2025-02-01 01:09:30
E000141,RIG_07,SEN_05,vibration,10.83,mm/s,2025-02-01 01:10:00
E000142,RIG_07,SEN_10,flow,123.92,l/min,2025-02-01 01:10:30
E000143,RIG_02,SEN_01,temperature,79.9,C,2025-02-01 01:11:00
E000144,RIG_04,SEN_09,flow,105.17,l/min,2025-02-01 01:11:30
E000145,RIG_07,SEN_10,vibration,1.48,mm/s,2025-02-01 01:12:00
E000146,RIG_06,SEN_06,flow,128.55,l/min,2025-02-01 01:12:30
E000147,RIG_06,SEN_02,flow,115.55,l/min,2025-02-01 01:13:00
E000148,RIG_02,SEN_05,flow,106.52,l/min,2025-02-01 01:13:30
E000149,RIG_09,SEN_07,vibration,1.07,mm/s,2025-02-01 01:14:00
E000150,RIG_01,SEN_14,vibration,2.47,mm/s,2025-02-01 01:14:30
E000151,RIG_02,SEN_07,flow,116.0,l/min,2025-02-01 01:15:00
E000152,RIG_03,SEN_15,flow,118.59,l/min,2025-02-01 01:15:30
E000153,RIG_08,SEN_20,vibration,7.58,mm/s,2025-02-01 01:16:00
E000154,RIG_05,SEN_03,temperature,82.54,C,2025-02-01 01:16:30
E000155,RIG_01,SEN_12,pressure,2296.57,psi,2025-02-01 01:17:00
E000156,RIG_09,SEN_15,pressure,2069.72,psi,2025-02-01 01:17:30
E000157,RIG_06,SEN_12,vibration,2.94,mm/s,2025-02-01 01:18:00
E000158,RIG_03,SEN_11,pressure,5135.16,psi,2025-02-01 01:18:30
E000159,RIG_04,SEN_20,vibration,3.93,mm/s,2025-02-01 01:19:00
E000160,RIG_03,SEN_12,vibration,3.39,mm/s,2025-02-01 01:19:30
E000161,RIG_09,SEN_15,flow,125.84,l/min,2025-02-01 01:20:00
E000162,RIG_09,SEN_13,pressure,5742.78,psi,2025-02-01 01:20:30
E000163,RIG_10,SEN_01,pressure,2941.75,psi,2025-02-01 01:21:00
E000164,RIG_08,SEN_18,temperature,72.87,C,2025-02-01 01:21:30
E000165,RIG_03,SEN_06,vibration,4.76,mm/s,2025-02-01 01:22:00
E000166,RIG_08,SEN_12,temperature,72.47,C,2025-02-01 01:22:30
E000167,RIG_08,SEN_02,vibration,2.21,mm/s,2025-02-01 01:23:00
E000168,RIG_10,SEN_18,vibration,5.04,mm/s,2025-02-01 01:23:30
E000169,RIG_02,SEN_04,flow,126.61,l/min,2025-02-01 01:24:00
E000170,RIG_03,SEN_09,flow,142.78,l/min,2025-02-01 01:24:30
E000171,RIG_08,SEN_19,temperature,85.51,C,2025-02-01 01:25:00
E000172,RIG_08,SEN_10,temperature,79.08,C,2025-02-01 01:25:30
E000173,RIG_04,SEN_13,temperature,80.34,C,2025-02-01 01:26:00
E000174,RIG_03,SEN_11,temperature,72.1,C,2025-02-01 01:26:30
E000175,RIG_07,SEN_01,vibration,1.91,mm/s,2025-02-01 01:27:00
E000176,RIG_03,SEN_14,vibration,1.2,mm/s,2025-02-01 01:27:30
E000177,RIG_10,SEN_09,pressure,2796.95,psi,2025-02-01 01:28:00
E000178,RIG_02,SEN_13,flow,98.91,l/min,2025-02-01 01:28:30
E000179,RIG_01,SEN_11,vibration,1.24,mm/s,2025-02-01 01:29:00
E000180,RIG_02,SEN_11,pressure,2267.28,psi,2025-02-01 01:29:30
E000181,RIG_05,SEN_09,pressure,2289.76,psi,2025-02-01 01:30:00
E000182,RIG_04,SEN_12,pressure,2330.31,psi,2025-02-01 01:30:30
E000183,RIG_01,SEN_04,pressure,2606.12,psi,2025-02-01 01:31:00
E000184,RIG_02,SEN_08,vibration,3.22,mm/s,2025-02-01 01:31:30
E000185,RIG_02,SEN_03,pressure,2639.53,psi,2025-02-01 01:32:00
E000186,RIG_06,SEN_06,pressure,2388.25,psi,2025-02-01 01:32:30
E000187,RIG_03,SEN_13,vibration,4.54,mm/s,2025-02-01 01:33:00
E000188,RIG_07,SEN_08,flow,120.87,l/min,2025-02-01 01:33:30
E000189,RIG_07,SEN_11,temperature,81.04,C,2025-02-01 01:34:00
E000190,RIG_08,SEN_03,pressure,2432.79,psi,2025-02-01 01:34:30
E000191,RIG_05,SEN_15,flow,111.25,l/min,2025-02-01 01:35:00
E000192,RIG_08,SEN_18,temperature,81.86,C,2025-02-01 01:35:30
E000193,RIG_08,SEN_13,vibration,2.23,mm/s,2025-02-01 01:36:00
E000194,RIG_04,SEN_16,temperature,84.34,C,2025-02-01 01:36:30
E000195,RIG_10,SEN_11,temperature,78.49,C,2025-02-01 01:37:00
E000196,RIG_01,SEN_05,flow,115.47,l/min,2025-02-01 01:37:30
E000197,RIG_07,SEN_01,temperature,78.45,C,2025-02-01 01:38:00
E000198,RIG_08,SEN_08,temperature,90.05,C,2025-02-01 01:38:30
E000199,RIG_05,SEN_07,vibration,4.17,mm/s,2025-02-01 01:39:00
E000200,RIG_08,SEN_13,temperature,81.09,C,2025-02-01 01:39:30
E000201,RIG_10,SEN_11,vibration,2.17,mm/s,2025-02-01 01:40:00
E000202,RIG_01,SEN_10,pressure,2988.3,psi,2025-02-01 01:40:30
E000203,RIG_05,SEN_19,flow,103.02,l/min,2025-02-01 01:41:00
E000204,RIG_05,SEN_04,temperature,89.76,C,2025-02-01 01:41:30
E000205,RIG_06,SEN_01,temperature,77.62,C,2025-02-01 01:42:00
E000206,RIG_06,SEN_20,temperature,73.8,C,2025-02-01 01:42:30
E000207,RIG_06,SEN_05,pressure,2827.7,psi,2025-02-01 01:43:00
E000208,RIG_06,SEN_13,pressure,2658.89,psi,2025-02-01 01:43:30
E000209,RIG_01,SEN_01,vibration,2.92,mm/s,2025-02-01 01:44:00
E000210,RIG_09,SEN_11,pressure,2287.44,psi,2025-02-01 01:44:30
E000211,RIG_01,SEN_12,vibration,3.39,mm/s,2025-02-01 01:45:00
E000212,RIG_05,SEN_07,flow,112.78,l/min,2025-02-01 01:45:30
E000213,RIG_05,SEN_15,pressure,3001.83,psi,2025-02-01 01:46:00
E000214,RIG_02,SEN_11,pressure,2817.62,psi,2025-02-01 01:46:30
E000215,RIG_01,SEN_18,vibration,1.26,mm/s,2025-02-01 01:47:00
E000216,RIG_09,SEN_14,pressure,2682.6,psi,2025-02-01 01:47:30
E000217,RIG_05,SEN_15,flow,109.49,l/min,2025-02-01 01:48:00
E000218,RIG_10,SEN_10,pressure,2141.26,psi,2025-02-01 01:48:30
E000219,RIG_02,SEN_19,flow,123.53,l/min,2025-02-01 01:49:00
E000220,RIG_08,SEN_08,temperature,88.09,C,2025-02-01 01:49:30
E000221,RIG_06,SEN_10,vibration,3.98,mm/s,2025-02-01 01:50:00
E000222,RIG_02,SEN_07,flow,126.53,l/min,2025-02-01 01:50:30
E000223,RIG_05,SEN_15,flow,104.99,l/min,2025-02-01 01:51:00
E000224,RIG_08,SEN_06,flow,115.77,l/min,2025-02-01 01:51:30
E000225,RIG_10,SEN_08,flow,127.13,l/min,2025-02-01 01:52:00
E000226,RIG_10,SEN_06,flow,98.19,l/min,2025-02-01 01:52:30
E000227,RIG_03,SEN_01,pressure,2313.84,psi,2025-02-01 01:53:00
E000228,RIG_06,SEN_08,temperature,77.93,C,2025-02-01 01:53:30
E000229,RIG_08,SEN_02,pressure,2571.25,psi,2025-02-01 01:54:00
E000230,RIG_01,SEN_16,pressure,2182.79,psi,2025-02-01 01:54:30
E000231,RIG_09,SEN_19,temperature,84.61,C,2025-02-01 01:55:00
E000232,RIG_03,SEN_18,temperature,202.47,C,2025-02-01 01:55:30
E000233,RIG_01,SEN_05,flow,114.61,l/min,2025-02-01 01:56:00
E000234,RIG_10,SEN_01,flow,114.29,l/min,2025-02-01 01:56:30
E000235,RIG_10,SEN_12,temperature,84.7,C,2025-02-01 01:57:00
E000236,RIG_01,SEN_18,vibration,4.93,mm/s,2025-02-01 01:57:30
E000237,RIG_05,SEN_08,temperature,84.71,C,2025-02-01 01:58:00
E000238,RIG_05,SEN_20,vibration,1.4,mm/s,2025-02-01 01:58:30
E000239,RIG_06,SEN_19,vibration,4.23,mm/s,2025-02-01 01:59:00
E000240,RIG_07,SEN_06,temperature,79.81,C,2025-02-01 01:59:30
E000241,RIG_10,SEN_02,pressure,2105.28,psi,2025-02-01 02:00:00
E000242,RIG_09,SEN_03,temperature,77.76,C,2025-02-01 02:00:30
E000243,RIG_09,SEN_11,pressure,2039.6,psi,2025-02-01 02:01:00
E000244,RIG_05,SEN_18,vibration,4.44,mm/s,2025-02-01 02:01:30
E000245,RIG_06,SEN_05,pressure,2119.68,psi,2025-02-01 02:02:00
E000246,RIG_01,SEN_07,temperature,85.03,C,2025-02-01 02:02:30
E000247,RIG_04,SEN_05,vibration,1.55,mm/s,2025-02-01 02:03:00
E000248,RIG_09,SEN_03,temperature,78.41,C,2025-02-01 02:03:30
E000249,RIG_04,SEN_18,flow,112.58,l/min,2025-02-01 02:04:00
E000250,RIG_08,SEN_14,flow,124.6,l/min,2025-02-01 02:04:30
E000251,RIG_04,SEN_04,pressure,2555.59,psi,2025-02-01 02:05:00
E000252,RIG_03,SEN_04,vibration,4.66,mm/s,2025-02-01 02:05:30
E000253,RIG_04,SEN_12,temperature,76.7,C,2025-02-01 02:06:00
E000254,RIG_01,SEN_01,vibration,4.99,mm/s,2025-02-01 02:06:30
E000255,RIG_09,SEN_07,pressure,2870.88,psi,2025-02-01 02:07:00
E000256,RIG_08,SEN_06,pressure,2736.43,psi,2025-02-01 02:07:30
E000257,RIG_07,SEN_07,vibration,1.68,mm/s,2025-02-01 02:08:00
E000258,RIG_10,SEN_15,pressure,2908.57,psi,2025-02-01 02:08:30
E000259,RIG_03,SEN_18,temperature,76.59,C,2025-02-01 02:09:00
E000260,RIG_03,SEN_20,flow,125.45,l/min,2025-02-01 02:09:30
E000261,RIG_10,SEN_06,vibration,4.35,mm/s,2025-02-01 02:10:00
E000262,RIG_03,SEN_07,temperature,74.91,C,2025-02-01 02:10:30
E000263,RIG_01,SEN_18,temperature,80.92,C,2025-02-01 02:11:00
E000264,RIG_08,SEN_12,pressure,2225.73,psi,2025-02-01 02:11:30
E000265,RIG_10,SEN_19,flow,94.62,l/min,2025-02-01 02:12:00
E000266,RIG_07,SEN_07,flow,128.76,l/min,2025-02-01 02:12:30
E000267,RIG_06,SEN_08,flow,121.58,l/min,2025-02-01 02:13:00
E000268,RIG_04,SEN_01,pressure,2845.95,psi,2025-02-01 02:13:30
E000269,RIG_05,SEN_09,vibration,1.37,mm/s,2025-02-01 02:14:00
E000270,RIG_09,SEN_16,flow,129.79,l/min,2025-02-01 02:14:30
E000271,RIG_08,SEN_04,flow,130.02,l/min,2025-02-01 02:15:00
E000272,RIG_09,SEN_13,flow,110.03,l/min,2025-02-01 02:15:30
E000273,RIG_02,SEN_13,pressure,2826.82,psi,2025-02-01 02:16:00
E000274,RIG_09,SEN_12,flow,104.78,l/min,2025-02-01 02:16:30
E000275,RIG_10,SEN_08,pressure,2871.53,psi,2025-02-01 02:17:00
E000276,RIG_10,SEN_11,vibration,3.49,mm/s,2025-02-01 02:17:30
E000277,RIG_10,SEN_13,flow,129.52,l/min,2025-02-01 02:18:00
E000278,RIG_02,SEN_16,vibration,1.95,mm/s,2025-02-01 02:18:30
E000279,RIG_04,SEN_07,vibration,3.63,mm/s,2025-02-01 02:19:00
E000280,RIG_02,SEN_08,flow,107.14,l/min,2025-02-01 02:19:30
E000281,RIG_10,SEN_10,flow,127.79,l/min,2025-02-01 02:20:00
E000282,RIG_08,SEN_18,flow,112.67,l/min,2025-02-01 02:20:30
E000283,RIG_02,SEN_20,vibration,1.72,mm/s,2025-02-01 02:21:00
E000284,RIG_01,SEN_10,vibration,4.5,mm/s,2025-02-01 02:21:30
E000285,RIG_05,SEN_19,temperature,73.76,C,2025-02-01 02:22:00
E000286,RIG_07,SEN_10,vibration,2.73,mm/s,2025-02-01 02:22:30
E000287,RIG_09,SEN_06,vibration,1.56,mm/s,2025-02-01 02:23:00
E000288,RIG_08,SEN_01,temperature,83.23,C,2025-02-01 02:23:30
E000289,RIG_08,SEN_07,vibration,2.74,mm/s,2025-02-01 02:24:00
E000290,RIG_10,SEN_17,vibration,2.37,mm/s,2025-02-01 02:24:30
E000291,RIG_06,SEN_18,temperature,88.77,C,2025-02-01 02:25:00
E000292,RIG_05,SEN_16,vibration,5.85,mm/s,2025-02-01 02:25:30
E000293,RIG_04,SEN_10,pressure,3027.56,psi,2025-02-01 02:26:00
E000294,RIG_05,SEN_13,vibration,7.99,mm/s,2025-02-01 02:26:30
E000295,RIG_01,SEN_06,vibration,1.24,mm/s,2025-02-01 02:27:00
E000296,RIG_09,SEN_05,pressure,2527.92,psi,2025-02-01 02:27:30
E000297,RIG_09,SEN_12,pressure,2640.97,psi,2025-02-01 02:28:00
E000298,RIG_04,SEN_02,flow,109.35,l/min,2025-02-01 02:28:30
E000299,RIG_05,SEN_19,temperature,81.5,C,2025-02-01 02:29:00
E000300,RIG_03,SEN_04,pressure,2846.59,psi,2025-02-01 02:29:30
E000301,RIG_08,SEN_07,pressure,2377.56,psi,2025-02-01 02:30:00
E000302,RIG_08,SEN_03,pressure,5406.01,psi,2025-02-01 02:30:30
E000303,RIG_01,SEN_09,temperature,73.9,C,2025-02-01 02:31:00
E000304,RIG_04,SEN_14,pressure,2875.0,psi,2025-02-01 02:31:30
E000305,RIG_03,SEN_16,vibration,4.28,mm/s,2025-02-01 02:32:00
E000306,RIG_08,SEN_17,vibration,3.89,mm/s,2025-02-01 02:32:30
E000307,RIG_05,SEN_19,vibration,4.03,mm/s,2025-02-01 02:33:00
E000308,RIG_08,SEN_02,flow,106.6,l/min,2025-02-01 02:33:30
E000309,RIG_03,SEN_05,pressure,5532.22,psi,2025-02-01 02:34:00
E000310,RIG_04,SEN_04,pressure,3010.59,psi,2025-02-01 02:34:30
E000311,RIG_04,SEN_07,vibration,2.09,mm/s,2025-02-01 02:35:00
E000312,RIG_08,SEN_15,vibration,3.84,mm/s,2025-02-01 02:35:30
E000313,RIG_08,SEN_15,vibration,4.84,mm/s,2025-02-01 02:36:00
E000314,RIG_04,SEN_18,pressure,2275.64,psi,2025-02-01 02:36:30
E000315,RIG_06,SEN_07,temperature,203.3,C,2025-02-01 02:37:00
E000316,RIG_09,SEN_15,pressure,2764.52,psi,2025-02-01 02:37:30
E000317,RIG_02,SEN_10,vibration,2.95,mm/s,2025-02-01 02:38:00
E000318,RIG_04,SEN_04,pressure,2436.19,psi,2025-02-01 02:38:30
E000319,RIG_02,SEN_09,flow,97.75,l/min,2025-02-01 02:39:00
E000320,RIG_01,SEN_04,pressure,2339.76,psi,2025-02-01 02:39:30
E000321,RIG_10,SEN_19,temperature,88.98,C,2025-02-01 02:40:00
E000322,RIG_10,SEN_16,vibration,3.61,mm/s,2025-02-01 02:40:30
E000323,RIG_06,SEN_08,flow,100.2,l/min,2025-02-01 02:41:00
E000324,RIG_07,SEN_05,flow,127.1,l/min,2025-02-01 02:41:30
E000325,RIG_08,SEN_16,pressure,2756.72,psi,2025-02-01 02:42:00
E000326,RIG_04,SEN_01,vibration,4.57,mm/s,2025-02-01 02:42:30
E000327,RIG_08,SEN_13,temperature,73.78,C,2025-02-01 02:43:00
E000328,RIG_04,SEN_02,pressure,2067.04,psi,2025-02-01 02:43:30
E000329,RIG_01,SEN_11,flow,92.01,l/min,2025-02-01 02:44:00
E000330,RIG_03,SEN_04,pressure,3005.82,psi,2025-02-01 02:44:30
E000331,RIG_09,SEN_02,temperature,73.49,C,2025-02-01 02:45:00
E000332,RIG_07,SEN_09,vibration,2.62,mm/s,2025-02-01 02:45:30
E000333,RIG_01,SEN_06,temperature,77.63,C,2025-02-01 02:46:00
E000334,RIG_10,SEN_08,temperature,72.72,C,2025-02-01 02:46:30
E000335,RIG_07,SEN_16,vibration,3.51,mm/s,2025-02-01 02:47:00
E000336,RIG_06,SEN_11,temperature,77.36,C,2025-02-01 02:47:30
E000337,RIG_06,SEN_20,vibration,2.06,mm/s,2025-02-01 02:48:00
E000338,RIG_07,SEN_11,temperature,78.71,C,2025-02-01 02:48:30
E000339,RIG_03,SEN_10,vibration,10.2,mm/s,2025-02-01 02:49:00
E000340,RIG_04,SEN_18,flow,119.03,l/min,2025-02-01 02:49:30
E000341,RIG_09,SEN_12,flow,102.69,l/min,2025-02-01 02:50:00
E000342,RIG_01,SEN_02,vibration,2.26,mm/s,2025-02-01 02:50:30
E000343,RIG_10,SEN_06,vibration,5.04,mm/s,2025-02-01 02:51:00
